n,time
0,1.23e-06
1,5.16e-06
2,8.06e-06
3,1.192e-05
4,1.492e-05
5,1.821e-05
6,2.164e-05
7,2.499e-05
8,2.76e-05
9,3.069e-05
10,3.464e-05
11,4.185e-05
12,5.515e-05
13,5.042e-05
14,6.03e-05
15,6.3461e-05
16,5.324e-05
17,5.594e-05
18,6.423e-05
19,8.032e-05
20,6.631e-05
21,7.526e-05
22,0.00011774
23,9.393e-05
24,7.757e-05
25,8.212e-05
26,8.349e-05
27,9.418e-05
28,0.00010435
29,9.565e-05
30,9.663e-05
31,9.866e-05
32,0.00010233
33,0.00010653
34,0.00010798
35,0.00011207
36,0.00011618
37,0.0001189
38,0.00012504
39,0.00016519
40,0.000177521
41,0.0001326
42,0.00013604
43,0.00013586
44,0.00014108
45,0.00015105
46,0.00016461
47,0.00015945
48,0.00018172
49,0.00015817
50,0.00018103
51,0.00018403
52,0.00017311
53,0.00017881
54,0.000199921
55,0.00019547
56,0.00018031
57,0.00020945
58,0.00021531
59,0.00022614
60,0.00026274
61,0.00020049
62,0.00019989
63,0.0002
64,0.00020384
65,0.0002093
66,0.000209621
67,0.00021493
68,0.00021867
69,0.00021982
70,0.00022224
71,0.00022755
72,0.00023069
73,0.00023977
74,0.00023657
75,0.00024125
76,0.00024346
77,0.000245961
78,0.00024903
79,0.00025226
80,0.0002569
81,0.00025943
82,0.0002626
83,0.00026621
84,0.00026885
85,0.00027221
86,0.000275351
87,0.00027717
88,0.00028626
89,0.00028261
90,0.00028762
91,0.00029217
92,0.00029287
93,0.00029691
94,0.000300831
95,0.00030396
96,0.00030637
97,0.00031112
98,0.00031307
99,0.00032055
